Date,Price Index,Index Type
1/12/2000,89.4,Cereals
1/1/2001,89.3,Cereals
1/2/2001,87.7,Cereals
1/3/2001,86.6,Cereals
1/4/2001,84.3,Cereals
1/5/2001,84.3,Cereals
1/6/2001,83.6,Cereals
1/7/2001,87.1,Cereals
1/8/2001,86.7,Cereals
1/9/2001,85.8,Cereals
1/10/2001,85.3,Cereals
1/11/2001,86.6,Cereals
1/12/2001,87,Cereals
1/1/2002,87.1,Cereals
1/2/2002,85.3,Cereals
1/3/2002,84.5,Cereals
1/4/2002,82.5,Cereals
1/5/2002,84.6,Cereals
1/6/2002,87.3,Cereals
1/7/2002,93.5,Cereals
1/8/2002,100.3,Cereals
1/9/2002,110.9,Cereals
1/10/2002,110,Cereals
1/11/2002,107.5,Cereals
1/12/2002,101.3,Cereals
